,manufacturer,model number,description,safety certification,nameplate Pmax [W],PTC [W],Notes,Family,Technology,area [m2],N_s,N_p,BIPV,Nameplate Isc [A],Nameplate Voc [V],Nameplate Ipmax [A],Nameplate Vpmax [V],Average NOCT [C],gamma_pmax [%/C],alpha_Isc [%/C],beta_Voc [%/C],alpha_Ipmax [%/C],beta_Vpmax [%/C],Ipmax [A],Vpmax [V],Ipmax_NOCT [A],Vpmax_NOCT [V],mounting,type,short length [m],long length [m],geometric multiplier,beta_Voc [V/C],alpha_Isc [A/C],tech_combined,cell_type,year_added,bifacial,heterojunction,STC [W],breakdown_factor,breakdown_exp,breakdown_voltage,eg_ref,dEgdT,photocurrent (I_L),saturation_current (I_o),resistance_series (R_s),resistance_shunt (R_sh),a_ref,adjust
0,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN225SA06B,225 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,225.0,209.2,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,50.6,5.42,41.6,48.3,-0.3,0.002,-0.24,0.0,-0.3,1.08,40.05,4.35,38.7,Rack,Flat Plate,0.798,1.58,1.0,-0.12144,0.0001166,Mono-c-SiMonocrystalline,monoSi,1900,False,True,225.472,0.002,3,-15,1.121,-0.0002677,5.846935372272518,4.313111741808093e-13,0.6748743236968126,232.32541008267265,1.6755020813392636,-7.9688484043748735
1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230DA02,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,216.0,,Monocrystalline,Mono-c-Si,1.41,72,1.0,N,5.56,52.9,5.26,43.8,45.8,-0.284,0.047,-0.235,-0.044,-0.24,1.06,41.34,4.26,40.7,Rack,Flat Plate,0.862,1.63,1.0,-0.124315,0.0026132,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.388,0.002,3,-15,1.121,-0.0002677,5.565460199165201,1.1817213970611086e-12,0.6411863546435431,652.905876678392,1.8137580116051322,1.7950704993942208
2,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230DA02B,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,216.0,,Monocrystalline,Mono-c-Si,1.41,72,1.0,N,5.56,52.9,5.26,43.8,45.8,-0.284,0.047,-0.235,-0.044,-0.24,1.06,41.34,4.26,40.7,Rack,Flat Plate,0.862,1.63,1.0,-0.124315,0.0026132,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.388,0.002,3,-15,1.121,-0.0002677,5.565460199165201,1.1817213970611086e-12,0.6411863546435431,652.905876678392,1.8137580116051322,1.7950704993942208
3,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230SA04,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,214.0,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,51.2,5.45,42.3,48.3,-0.3,0.03,-0.24,0.0,-0.3,1.09,40.72,4.37,39.3,Rack,Flat Plate,0.798,1.58,1.0,-0.12288,0.001749,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.535,0.002,3,-15,1.121,-0.0002677,5.841791407714183,1.3850290984300414e-12,0.6108871013881984,302.03957742458323,1.7630313291351085,0.8878779790645072
4,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230SA04B,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,214.0,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,51.2,5.45,42.3,48.3,-0.3,0.03,-0.24,0.0,-0.3,1.09,40.72,4.37,39.3,Rack,Flat Plate,0.798,1.58,1.0,-0.12288,0.001749,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.535,0.002,3,-15,1.121,-0.0002677,5.841791407714183,1.3850290984300414e-12,0.6108871013881984,302.03957742458323,1.7630313291351085,0.8878779790645072
5,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230SA06,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,214.0,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,51.2,5.45,42.3,48.3,-0.3,0.002,-0.24,0.0,-0.3,1.09,40.72,4.37,39.3,Rack,Flat Plate,0.798,1.58,1.0,-0.12288,0.0001166,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.535,0.002,3,-15,1.121,-0.0002677,5.843118773126251,4.2974947808110406e-13,0.6394741858494203,284.18316772935714,1.6948300020489113,-8.021115102066892
6,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230SA06B,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,214.0,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,51.2,5.45,42.3,48.3,-0.3,0.002,-0.24,0.0,-0.3,1.09,40.72,4.37,39.3,Rack,Flat Plate,0.798,1.58,1.0,-0.12288,0.0001166,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.535,0.002,3,-15,1.121,-0.0002677,5.843118773126251,4.2974947808110406e-13,0.6394741858494203,284.18316772935714,1.6948300020489113,-8.021115102066892
7,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230SA11,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,214.0,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,51.2,5.45,42.3,48.3,-0.3,0.03,-0.24,0.0,-0.3,1.08,40.83,4.36,39.4,Rack,Flat Plate,0.798,1.58,1.0,-0.12288,0.001749,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.535,0.002,3,-15,1.121,-0.0002677,5.841791407714183,1.3850290984300414e-12,0.6108871013881984,302.03957742458323,1.7630313291351085,0.8878779790645072
8,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN230SA11B,230 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,230.0,214.0,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.83,51.2,5.45,42.3,48.3,-0.3,0.03,-0.24,0.0,-0.3,1.08,40.83,4.36,39.4,Rack,Flat Plate,0.798,1.58,1.0,-0.12288,0.001749,Mono-c-SiMonocrystalline,monoSi,1900,False,True,230.535,0.002,3,-15,1.121,-0.0002677,5.841791407714183,1.3850290984300414e-12,0.6108871013881984,302.03957742458323,1.7630313291351085,0.8878779790645072
9,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN235SA04,235 W HIT Hybrid Amorphous/Monocrystalline Module,UL 1703,235.0,218.7,,Monocrystalline,Mono-c-Si,1.26,72,1.0,N,5.84,51.8,5.48,43.0,48.3,-0.3,0.03,-0.24,0.0,-0.3,1.09,41.51,4.39,40.0,Rack,Flat Plate,0.798,1.58,1.0,-0.12432,0.001752,Mono-c-SiMonocrystalline,monoSi,1900,False,True,235.64,0.002,3,-15,1.121,-0.0002677,5.8493787985537296,1.4114566454082405e-12,0.5746338753819544,357.81361714840995,1.7845040118127136,1.0155674020433743
