Model Number,CEC Listing Date,year
6MN6A270,,1900
6MN6A275,,1900
6MN6A280,,1900
6MN6A285,,1900
6MN6A290,,1900
API-P210,,1900
API-P215,,1900
API-P220,,1900
API-M225,,1900
API-P225,,1900
API-M230,,1900
API-P230,,1900
API-M235,,1900
API-P235,,1900
API-M240,,1900
API-P240,,1900
API-M245,,1900
API-P245,,1900
API-M250,,1900
API-P250,,1900
API-M255,,1900
API-P255,,1900
API-M260,,1900
API-P260,,1900
API-M265,,1900
API-P265,,1900
API-M270,,1900
API-P270,,1900
API-M275,,1900
API-P275,,1900
API-M280,,1900
API-P280,,1900
API-M285,,1900
API-P285,,1900
API-M290,,1900
API-P290,,1900
API-P295,,1900
API-P300,,1900
API-P305,,1900
API-P310,,1900
API-P315,,1900
API-P320,04.09.2018,2018
API-P325,04.09.2018,2018
API-M330,04.09.2018,2018
API-P330,04.09.2018,2018
API-M335,04.09.2018,2018
API-P335,04.09.2018,2018
API-M340,04.09.2018,2018
API-M345,04.09.2018,2018
API-M350,04.09.2018,2018
API-M355,04.09.2018,2018
API-M360,04.09.2018,2018
API-M365,04.09.2018,2018
API-M370,04.09.2018,2018
ASP-S1-80,,1900
ATI-S572-175,,1900
ATI-S572-180,,1900
ATI-S572-185,,1900
ATI-M660-220,,1900
ATI-M660-225,,1900
ATI-M660-230,,1900
ATI-M660-235,,1900
ATI-M660-240,,1900
AS-6P30-245W,,1900
AS-6P30-250W,,1900
AS-6P30-255W,,1900
AS-6P30-260W,,1900
AS-6P30-265W,02.04.2018,2018
AS-6P30-270W,02.04.2018,2018
AS-6P30-275W,02.04.2018,2018
AS-6M30-280W,02.04.2018,2018
AS-6P30-280W,02.04.2018,2018
AS-6M30-285W,02.04.2018,2018
AS-6P-320W,02.04.2018,2018
AS-6P-325W,02.04.2018,2018
AS-6P-330W,02.04.2018,2018
AS-6M-335W,02.04.2018,2018
AS-6P-335W,02.04.2018,2018
AS-6M-340W,02.04.2018,2018
AS-6M-345W,02.04.2018,2018
AS-6M-350W,02.04.2018,2018
ST-175-1AC1-A-A,,1900
ST-175-1AC3-B-A,,1900
ST-185-1AC1-A-A,,1900
ST-185-1AC1-A-B,,1900
ST-185-1AC3-B-A,,1900
ST-185-1AC3-B-B,,1900
ST-190-1AC1-A-B,,1900
ST-190-1AC3-B-B,,1900
ST-195-1AC1-A-B,,1900
ST-195-1AC3-B-B,,1900
LW-230-1-AC0-D-B,,1900
LW-230-1-AC1-A-B,,1900
LW-230-1-AC2-D-B,,1900
LW-230-1-AC3-B-B,,1900
LW-235-1-AC0-D-B,,1900
LW-235-1-AC1-A-B,,1900
LW-235-1-AC2-D-B,,1900
LW-235-1-AC3-B-B,,1900
LW-240-1-AC0-D-B,,1900
LW-240-1-AC1-A-B,,1900
LW-240-1-AC2-D-B,,1900
LW-240-1-AC3-B-B,,1900
TW-240-1-AC2-D-B,,1900
TW-245-1-AC2-D-B,,1900
TW-250-1-AC2-D-B,,1900
QJM160-72,,1900
QJM165-72,,1900
QJM170-72,,1900
QJM175-72,,1900
QJM180-72,,1900
QJM185-72,,1900
QJM190-72,,1900
QJM195-72,,1900
QJM200-72,,1900
QJP205-60,,1900
QJP210-60,,1900
QJP215-60,,1900
QJM220-60,,1900
QJP220-60,,1900
QJM225-60,,1900
QJP225-60,,1900
QJM230-60,,1900
QJP230-60,,1900
QJM235-60,,1900
QJP235-60,,1900
QJM240-60,,1900
QJP240-60,,1900
QJM245-60,,1900
QJP245-60,,1900
QJM250-60,,1900
QJP250-60,,1900
QJM255-60,,1900
QJP255-60,,1900
QJP255-72,,1900
QJM260-60,,1900
QJP260-60,,1900
QJP260-72,,1900
QJM265-60,,1900
QJP265-60,,1900
QJP265-72,,1900
QJM270-60,,1900
QJM270-72,,1900
QJP270-60,,1900
QJP270-72,,1900
QJM275-60,,1900
QJM275-72,,1900
QJP275-60,,1900
QJP275-72,,1900
QJM280-72,,1900
QJP280-72,,1900
QJM285-72,,1900
QJP285-72,,1900
QJM290-72,,1900
QJP290-72,,1900
QJM295-72,,1900
QJP295-72,,1900
QJM300-72,,1900
QJP300-72,,1900
QJM305-72,,1900
QJP305-72,,1900
QJM310-72,,1900
QJP310-72,,1900
QJM315-72,,1900
QJP315-72,,1900
QJM320-72,,1900
QJP320-72,,1900
QJM325-72,,1900
QJP325-72,,1900
QJM330-72,,1900
QJP330-72,,1900
QJM335-72,15.06.2018,2018
QJM340-72,15.06.2018,2018
QJM345-72,15.06.2018,2018
QJM350-72,15.06.2018,2018
QJM355-72,15.06.2018,2018
QJM360-72,15.06.2018,2018
QJM365-72,15.06.2018,2018
QJM370-72,15.06.2018,2018
DS-A4-210,,1900
DS-A4-215,,1900
DS-A4-220,,1900
DS-A4-225,,1900
DS-A4-230,,1900
AJP-S572-175,,1900
AJP-S572-180,,1900
AJP-S572-185,,1900
AJP-M660-220,,1900
AJP-M660-225,,1900
AJP-M660-230,,1900
AJP-M660-235,,1900
AJP-M660-240,,1900
AJP-M660-245,,1900
AJP-M660-250,,1900
AP130,,1900
AP135,,1900
AS135,,1900
AP140,,1900
AS140,,1900
AS145,,1900
AP175,,1900
AP180,,1900
AS180,,1900
AP185,,1900
AS185,,1900
AP190,,1900
AS190,,1900
AP195,,1900
AS195,,1900
AP200,,1900
AS200,,1900
AP205,,1900
AS205,,1900
AP210,,1900
AS210,,1900
AP215,,1900
AS215,,1900
AP220,,1900
AS220,,1900
AP225,,1900
AS225,,1900
AP230,,1900
AS230,,1900
AS235,,1900
AS240,,1900
1/4 Size Tandem Junction,,1900
1/4 Size Single Junction Version 1.0,,1900
1/2-L Size Single Junction Version 1.0,,1900
1/2-P Size Single Junction Version 1.0,,1900
1/2-L Size Tandem Junction,,1900
1/2-P Size Tandem Junction,,1900
Full Size Single Junction Version 1.0,,1900
Full Size Tandem Junction,,1900
DNA-120-BF23-320W,21.01.2020,2020
DNA-120-MF23-320W [Blk],21.01.2020,2020
DNA-120-MF23-320W [Wht],23.12.2019,2019
DNA-120-BF23-325W,21.01.2020,2020
DNA-120-MF23-325W [Blk],21.01.2020,2020
DNA-120-MF23-325W [Wht],23.12.2019,2019
DNA-120-BF23-330W,21.01.2020,2020
DNA-120-MF23-330W [Blk],21.01.2020,2020
DNA-120-MF23-330W [Wht],23.12.2019,2019
DNA-120-BF23-335W,21.01.2020,2020
DNA-120-MF23-335W [Blk],21.01.2020,2020
DNA-120-MF23-335W [Wht],23.12.2019,2019
DNA-120-BF23-340W,21.01.2020,2020
DNA-120-MF23-340W [Blk],21.01.2020,2020
DNA-120-MF23-340W [Wht],23.12.2019,2019
DNA-120-BF26-360W,01.10.2021,2021
DNA-120-MF26-360W,21.06.2021,2021
DNA-120-BF26-365W,01.10.2021,2021
DNA-120-MF26-365W,21.06.2021,2021
DNA-120-BF26-370W,01.10.2021,2021
DNA-120-MF26-370W,21.06.2021,2021
DNA-144-BF23-390W,13.01.2020,2020
DNA-144-MF23-390W [Blk],21.01.2020,2020
DNA-144-MF23-390W [Wht],23.12.2019,2019
DNA-144-BF23-395W,13.01.2020,2020
DNA-144-MF23-395W [Blk],21.01.2020,2020
DNA-144-MF23-395W [Wht],23.12.2019,2019
DNA-144-BF23-400W,13.01.2020,2020
DNA-144-MF23-400W [Blk],21.01.2020,2020
DNA-144-MF23-400W [Wht],23.12.2019,2019
DNA-144-BF23-405W,13.01.2020,2020
DNA-144-MF23-405W [Blk],21.01.2020,2020
DNA-144-MF23-405W [Wht],23.12.2019,2019
DNA-144-BF23-410W,13.01.2020,2020
DNA-144-MF23-410W [Blk],21.01.2020,2020
DNA-144-MF23-410W [Wht],23.12.2019,2019
DNA-144-BF23-415W,13.01.2020,2020
DNA-144-BF26-430W,23.08.2021,2021
DNA-144-MF26-430W [Blk],21.06.2021,2021
DNA-144-MF26-430W [Wht],21.06.2021,2021
DNA-144-BF26-435W,23.08.2021,2021
DNA-144-MF26-435W [Blk],21.06.2021,2021
DNA-144-MF26-435W [Wht],21.06.2021,2021
DNA-144-BF26-440W,23.08.2021,2021
DNA-144-MF26-440W [Blk],21.06.2021,2021
DNA-144-MF26-440W [Wht],21.06.2021,2021
PM200M00_190,,1900
PM200M00_195,,1900
PM200M00_200,,1900
PM200M00_205,,1900
PM200M00_210,,1900
PM220P00_215,,1900
PM220P02.0_215,,1900
PM220P00.4_220,,1900
PM220P00_220,,1900
PM220P01.0_220,,1900
PM220P02.0_220,,1900
PM060P00_225,,1900
PM060P01_225,,1900
PM060P02_225,,1900
PM060PB0_225,,1900
PM060PB1_225,,1900
PM060PBR_225,,1900
PM060PW0_225,,1900
PM060PW1_225,,1900
PM060PW8_225,,1900
PM060PWR_225,,1900
PM220P00.4_225,,1900
PM220P00_225,,1900
PM220P01.0_225,,1900
PM220P02.0_225,,1900
PM245P00_225,,1900
PM060P00_230,,1900
PM060P01_230,,1900
PM060P02_230,,1900
PM060PB0_230,,1900
PM060PB1_230,,1900
PM060PBR_230,,1900
PM060PW0_230,,1900
PM060PW1_230,,1900
PM060PW8_230,,1900
PM060PWR_230,,1900
PM220P00.4_230,,1900
PM220P00_230,,1900
PM220P01.0_230,,1900
PM220P02.0_230,,1900
PM240P00_230,,1900
PM245P00_230,,1900
PM245P01_230,,1900
PM060P00_235,,1900
PM060P01_235,,1900
PM060P02_235,,1900
PM060PA0_235,,1900
PM060PA1_235,,1900
PM060PA2_235,,1900
PM060PB0_235,,1900
PM060PB1_235,,1900
PM060PBR_235,,1900
PM060PW0_235,,1900
PM060PW1_235,,1900
PM060PW8_235,,1900
PM060PWR_235,,1900
PM220P00.4_235,,1900
PM220P00_235,,1900
PM220P01.0_235,,1900
PM240P00_235,,1900
PM240PA0_235,,1900
PM245P00_235,,1900
PM245P01_235,,1900
PM245PA0_235,,1900
PM245PA1_235,,1900
PM245PA2_235,,1900
PM060MA0_240,,1900
PM060MA1_240,,1900
PM060MA2_240,,1900
PM060P00_240,,1900
PM060P01_240,,1900
PM060P02_240,,1900
PM060PA0_240,,1900
PM060PA1_240,,1900
PM060PA2_240,,1900
PM060PB0_240,,1900
PM060PB1_240,,1900
PM060PBR_240,,1900
PM060PW0_240,,1900
PM060PW1_240,,1900
PM060PW8_240,,1900
PM060PWR_240,,1900
PM220P01.0_240,,1900
PM240P00_240,,1900
PM240PA0_240,,1900
PM245P00_240,,1900
