,general_device_summary,bishop_N_p_typical,bishop_N_s_typical,bishop_breakdown_exp,bishop_breakdown_factor,bishop_breakdown_voltage,desoto_bandgap_temp_coe_dEgdT,desoto_diode_factor_a_ref,desoto_energy_bandgap_Egref,desoto_photocurrent_I_L_ref,desoto_saturation_current_I_o_ref,desoto_series_resist_R_s_ref,desoto_short_circuit_temp_coe_alpha_sc,desoto_shunt_resist_R_sh_ref,general_cell_area_mm2_typical,general_cell_height_mm_typical,general_cell_type,general_cell_width_mm_typical,general_description,general_heterojunction,general_monolithic,module_n_subcell_cols_typical,module_n_subcell_rows_typical,module_shape_N_columns_typical,module_shape_N_rows_typical,module_shape_area_m2,module_shape_column_spacing_mm,module_shape_flex,module_shape_frame_thickness_mm,module_shape_height_mm,module_shape_row_spacing_mm,module_shape_width_mm,performance_NOCT_T_degC,performance_cell_efficiency_ref,performance_module_efficiency_ref,performance_power_W_ref,performance_temp_coe_gamma_pctC,performance_thermal_resilience,shape_orientation,general_device_id
0,monoSi_singleJ_halfcut,2,72,3.28,0.002,-15,-0.0002677,1.828557411,1.121,11.342993908696188,1.7707709852891217e-11,0.2026238233810742,0.00034,767.4762927799923,13778,83,monoSi,166,typical half cut monocrystalline module,FALSE,FALSE,1,1,6,24,2.19232,4,FALSE,4,2108,4,1040,45.6,0.227,0.206,451.0219251206661,-0.347,0.7378777346506352,portrait,D001
1,monoSi_singleJ_square,1,60,3.28,0.002,-15,-0.0002677,1.529236889928173,1.121,10.569788965147488,5.899046896424323e-11,0.2138122487826511,0.00042,230.65332842402825,26244,162,monoSi,162,typical square cell monocrystalline module,FALSE,FALSE,1,1,6,10,1.764004,6,FALSE,7,1706,6,1034,45.1,0.207,0.185,325.70374801908235,-0.381,0.7345650601516399,portrait,D002
2,monoSi_singleJ_mini,1,14,3.28,0.002,-15,-0.0002677,0.3683066504159941,1.121,9.727748406385912,2.6849264029571573e-11,0.085892428,0.00046,134.77853986504812,25201.5625,158.75,monoSi,158.75,small monocrystalline module,FALSE,FALSE,1,1,7,2,0.403975875,6,FALSE,2,345.5,6,1169.25,61.8,0.206,0.18,72.60076723051101,-0.371,0.686750184,landscape,D003
3,polySi_singleJ_halfcut,2,72,3.28,0.002,-15,-0.0002677,1.7588625313277315,1.121,9.826715600700185,3.031863068048801e-11,0.3269776426574218,0.0005,478.1285649339557,13778,83,polySi,166,typical polycrystalline halfcut cell module,FALSE,FALSE,1,1,6,24,2.19232,4,FALSE,4,2108,4,1040,45.4,0.179,0.162,354.4958848831378,-0.362,0.7380985227710395,portrait,D004
4,polySi_singleJ_square,1,72,3.28,0.002,-15,-0.0002677,1.851403851078951,1.121,9.398649540129544,1.2758406719334542e-10,0.309676937,0.00049,336.1874227901243,25201.5625,158.75,polySi,158.75,typical square cell polycrystalline module,FALSE,FALSE,1,1,6,12,1.9149245,2,FALSE,5,1957,3,978.5,45.2,0.185,0.175,335.15983337309206,-0.409,0.7298069010438926,portrait,D005
5,cigs_singleJ_wafer,1,60,3.28,0.002,-15,-0.0002677,1.341637263719694,1.15,7.451246955616755,2.1324413857187347e-11,0.6340979581320793,-0.00012,26.956585221740752,26569,163,cigs,163,typical CIGS module,FALSE,FALSE,1,1,6,10,1.66,2,TRUE,3,1660,2,1000,55.9,0.104,0.099,164.99812881412214,-0.385,0.7154025021437951,portrait,D006
6,cdte_singleJ_monolith,1,264,3.28,0.002,-15,-0.0003,7.987883856729444,1.475,2.545000718407697,2.969474195982689e-12,4.901760348659221,0.00056,2489.736533489824,9217.5,7.5,cdte,1229,typical CdTe module,FALSE,TRUE,5,1,1,264,2.4484761,0.1,FALSE,1.5,1984.5,0,1233.8,50.7,0.177,0.176,430.9359901617367,-0.307,0.6851101365597041,portrait,D007
7,monoSi_tandemJ_halfcut,2,60,3.28,0.002,-15,-0.0002677,1.518287640982106,1.121,10.24232266224336,2.4054240043665842e-12,0.1554028954496397,0.00037,129.01202594262088,13778,83,monoSi,166,typical HJT halfcut monocrystalline module,TRUE,FALSE,1,1,6,20,1.751661,1,FALSE,5,1719,2,1019,44,0.218,0.206,360.03453325854275,-0.279,0.7509200872800227,portrait,D008
8,monoSi_tandemJ_square,1,96,3.28,0.002,-15,-0.0002677,2.339992667765493,1.121,6.023251974583235,4.580844910084929e-13,0.7246887020833652,0.00038,328.6588781886511,16900,130,monoSi,130,typical HJT square monocrystalline module,TRUE,FALSE,1,1,8,12,1.6776678,1.3,FALSE,3,1584.2,1.3,1059,44.9,0.204,0.197,330.3998503936697,-0.257,0.7569566109666167,portrait,D009
9,monoSi_singleJ_halfcut,2,72,3.28,0.002,-15,-0.0002677,1.828557411,1.121,11.342993908696188,1.7707709852891217e-11,0.2026238233810742,0.00034,767.4762927799923,13778,166,monoSi,83,typical half cut monocrystalline module,FALSE,FALSE,1,1,24,6,2.19232,4,FALSE,4,1040,4,2108,45.6,0.227,0.206,451.0219251206661,-0.347,0.7378777346506352,landscape,D010
10,monoSi_singleJ_square,1,60,3.28,0.002,-15,-0.0002677,1.529236889928173,1.121,10.569788965147488,5.899046896424323e-11,0.2138122487826511,0.00042,230.65332842402825,26244,162,monoSi,162,typical square cell monocrystalline module,FALSE,FALSE,1,1,10,6,1.764004,6,FALSE,7,1034,6,1706,45.1,0.207,0.185,325.70374801908235,-0.381,0.7345650601516399,landscape,D011
11,monoSi_singleJ_mini,1,14,3.28,0.002,-15,-0.0002677,0.3683066504159941,1.121,9.727748406385912,2.6849264029571573e-11,0.085892428,0.00046,134.77853986504812,25201.5625,158.75,monoSi,158.75,small monocrystalline module,FALSE,FALSE,1,1,2,7,0.403975875,6,FALSE,2,1169.25,6,345.5,61.8,0.206,0.18,72.60076723051101,-0.371,0.686750184,portrait,D012
12,polySi_singleJ_halfcut,2,72,3.28,0.002,-15,-0.0002677,1.7588625313277315,1.121,9.826715600700185,3.031863068048801e-11,0.3269776426574218,0.0005,478.1285649339557,13778,166,polySi,83,typical polycrystalline halfcut cell module,FALSE,FALSE,1,1,24,6,2.19232,4,FALSE,4,1040,4,2108,45.4,0.179,0.162,354.4958848831378,-0.362,0.7380985227710395,landscape,D013
13,polySi_singleJ_square,1,72,3.28,0.002,-15,-0.0002677,1.851403851078951,1.121,9.398649540129544,1.2758406719334542e-10,0.309676937,0.00049,336.1874227901243,25201.5625,158.75,polySi,158.75,typical square cell polycrystalline module,FALSE,FALSE,1,1,12,6,1.9149245,3,FALSE,5,978.5,2,1957,45.2,0.185,0.175,335.15983337309206,-0.409,0.7298069010438926,landscape,D014
14,cigs_singleJ_wafer,1,60,3.28,0.002,-15,-0.0002677,1.341637263719694,1.15,7.451246955616755,2.1324413857187347e-11,0.6340979581320793,-0.00012,26.956585221740752,26569,163,cigs,163,typical CIGS module,FALSE,FALSE,1,1,10,6,1.66,2,TRUE,3,1000,2,1660,55.9,0.104,0.099,164.99812881412214,-0.385,0.7154025021437951,landscape,D015
15,cdte_singleJ_monolith,1,264,3.28,0.002,-15,-0.0003,7.987883856729444,1.475,2.545000718407697,2.969474195982689e-12,4.901760348659221,0.00056,2489.736533489824,9217.5,1229,cdte,7.5,typical CdTe module,FALSE,TRUE,1,5,264,1,2.4484761,0,FALSE,1.5,1233.8,0.1,1984.5,50.7,0.177,0.176,430.9359901617367,-0.307,0.6851101365597041,landscape,D016
16,monoSi_tandemJ_halfcut,2,60,3.28,0.002,-15,-0.0002677,1.518287640982106,1.121,10.24232266224336,2.4054240043665842e-12,0.1554028954496397,0.00037,129.01202594262088,13778,166,monoSi,83,typical HJT halfcut monocrystalline module,TRUE,FALSE,1,1,20,6,1.751661,2,FALSE,5,1019,1,1719,44,0.218,0.206,360.03453325854275,-0.279,0.7509200872800227,landscape,D017
17,monoSi_tandemJ_square,1,96,3.28,0.002,-15,-0.0002677,2.339992667765493,1.121,6.023251974583235,4.580844910084929e-13,0.7246887020833652,0.00038,328.6588781886511,16900,130,monoSi,130,typical HJT square monocrystalline module,TRUE,FALSE,1,1,12,8,1.6776678,1.3,FALSE,3,1059,1.3,1584.2,44.9,0.204,0.197,330.3998503936697,-0.257,0.7569566109666167,landscape,D018
18,nist_rooftop_module,1,60,3.28,0.002,-15,-0.0002677,1.572369,1.121,8.628778,4.96E-10,0.300444,0.003784,89.785065,22500,150,monoSi,150,A non-typical module used for a specific paper. The crystalline moudle used by the NIST research center. Product code in the SAM is Sharp_NU_U235F2.,FALSE,FALSE,1,1,6,10,1.56,2.5,FALSE,35,1592.5,2.5,982.5,45.4,0.155,0.15,235,-0.458,0.75,portrait,D019
19,nist_rooftop_module,1,60,3.28,0.002,-15,-0.0002677,1.572369,1.121,8.628778,4.96E-10,0.300444,0.003784,89.785065,22500,150,monoSi,150,A non-typical module used for a specific paper. The crystalline moudle used by the NIST research center. Product code in the SAM is Sharp_NU_U235F2.,FALSE,FALSE,1,1,10,6,1.56,2.5,FALSE,35,982.5,2.5,1592.5,45.4,0.155,0.15,235,-0.458,0.75,landscape,D020
