device_id,device_name,cell,orientation,cec_database_key,Wp,gamma_ref,cell_width,cell_height,cell_col_spacing,cell_row_spacing,n_cols_ideal,n_rows_ideal,n_cols,n_rows,n_submodule,frame_size,module_width,module_height,N_s_ideal,N_p_ideal,N_s,N_p,total_cells,Nsubcell_col,Nsubcell_row,cell_area,Wp_m2_cell,module_area,Wp_m2_module,cell_effective_area,min_cell_module,breakdown_factor,breakdown_exp,breakdown_voltage,diode_threshold,minimum_irradiance_cell
D0001,half-cut-monocrystalline,monocrystalline,portrait,Hanwha_Q_CELLS_Q_PEAK_DUO_BLK_G5_SC_320,320,-0.0037,182,91,2.5,2.5,6,20,6,20,2,15,1149.5,1912.5,60,2,60,2,120,1,1,1.99,161.01,2.2,145.56,0.9,3.10E+01,2.00E-03,3.28,-5.5,-0.5,5
D0003,standard-polycrystalline,polycrystalline,portrait,Hyundai_Heavy_Industries_Green_Energy_Co__HiS_M320TI,320,-0.0042,157,157,5.5,5.5,6,12,6,12,1,15,999.5,1974.5,72,1,72,1,72,1,1,1.77,180.31,1.97,79.55,0.9,1.90E+01,2.00E-03,3.28,-5.5,-0.5,5
D0005,standard-cdte,cdte,portrait,First_Solar__Inc__FS_6385,385,-0.0028,4.5,1884,0.05,0,264,1,264,1,1,15,1231.15,1914,264,1,264,1,264,1,5,2.24,172.01,2.36,799.52,0.95,6.70E+01,2.00E-03,3.28,-5.5,-0.5,5
D0007,standard-cigs,cigs,portrait,Miasole_FLEX_03_320W,320,-0.0038,310,44,0.5,0,4,36,4,36,2,15,1286.5,1629,72,2,72,2,144,1,1,1.96,162.92,2.1,21,0.94,3.70E+01,2.00E-03,3.28,-5.5,-0.5,5
D0009,standard-asi,asi,portrait,Du_Pont_Apollo_DA136_C2,136,-0.003,10,1384,2.5,0,99,1,99,1,1,15,1265,1414,99,1,99,1,99,1,5,1.37,99.26,1.79,773.74,0.77,2.70E+01,2.00E-03,3.28,-5.5,-0.5,5
D0002,half-cut-monocrystalline,monocrystalline,landscape,Hanwha_Q_CELLS_Q_PEAK_DUO_BLK_G5_SC_320,320,-0.0037,91,182,2.5,2.5,20,6,20,6,2,15,1912.5,1149.5,60,2,60,2,120,1,1,1.99,161.01,2.2,82.79,0.9,3.10E+01,2.00E-03,3.28,-5.5,-0.5,5
D0004,standard-polycrystalline,polycrystalline,landscape,Hyundai_Heavy_Industries_Green_Energy_Co__HiS_M320TI,320,-0.0042,157,157,5.5,5.5,12,6,12,6,1,15,1974.5,999.5,72,1,72,1,72,1,1,1.77,180.31,1.97,79.55,0.9,1.90E+01,2.00E-03,3.28,-5.5,-0.5,5
D0006,standard-cdte,cdte,landscape,First_Solar__Inc__FS_6385,385,-0.0028,1884,4.5,0,0.05,1,264,1,264,1,15,1914,1231.15,264,1,264,1,264,5,1,2.24,172.01,2.36,1.91,0.95,6.70E+01,2.00E-03,3.28,-5.5,-0.5,5
D0008,standard-cigs,cigs,landscape,Miasole_FLEX_03_320W,320,-0.0038,44,310,0,0.5,36,4,36,4,2,15,1629,1286.5,72,2,72,2,144,1,1,1.96,162.92,2.1,147.92,0.94,3.70E+01,2.00E-03,3.28,-5.5,-0.5,5
D0010,standard-asi,asi,landscape,Du_Pont_Apollo_DA136_C2,136,-0.003,1384,10,0,2.5,1,99,1,99,1,15,1414,1265,99,1,99,1,99,5,1,1.37,99.26,1.79,5.59,0.77,2.70E+01,2.00E-03,3.28,-5.5,-0.5,5
D0011,standard-monocrystalline,monocrystalline,portrait,Sharp_NU_U235F2,235,-0.00485,150,150,2.5,2.5,6,10,6,10,1,35,982.5,1592.5,60,1,60,1,60,1,1,1.35,174.0740741,1.63016,144.1576287,0.828139569,3.10E+01,2.00E-03,3.28,-5.5,-0.5,5
D0012,standard-monocrystalline,monocrystalline,landscape,Sharp_NU_U235F2,235,-0.00485,150,150,2.5,2.5,10,6,10,6,1,35,1592.5,982.5,60,1,60,1,60,1,1,1.35,174.0740741,1.63016,144.1576287,0.828139569,3.10E+01,2.00E-03,3.28,-5.5,-0.5,5
D0013,mini-monocrystalline,monocrystalline,portrait,Sharp_NU_U235F2,25,-0.00485,150,150,2.5,2.5,2,3,2,3,1,15,332.5,485,6,1,6,1,6,1,1,0.135,185.1851852,0.1612625,155.0267421,0.837144407,6.00E+00,2.00E-03,3.28,-5.5,-0.5,5
D0014,mini-monocrystalline,monocrystalline,landscape,Sharp_NU_U235F2,25,-0.00485,150,150,2.5,2.5,3,2,3,2,1,15,485,332.5,6,1,6,1,6,1,1,0.135,185.1851852,0.1612625,155.0267421,0.837144407,6.00E+00,2.00E-03,3.28,-5.5,-0.5,5
