,grid_demand_kwh
0,3.63486099
1,3.557187834
2,2.952793585
3,2.163925591
4,2.051056786
5,2.677296609
6,2.518309367
7,2.314417331
8,4.424942627
9,3.702825002
10,3.371500444
11,3.699184073
12,4.449215489
13,4.952877362
14,11.10726136
15,7.275790195
16,5.264783631
17,6.797614826
18,5.776941006
19,6.513622348
20,6.609500151
21,7.933584738
22,7.209039826
23,7.777024783
24,8.546474488
25,6.787905682
26,5.389788867
27,4.422515341
28,3.332663866
29,2.495250149
30,2.480686432
31,4.330278468
32,4.816949339
33,4.608202731
34,6.529399708
35,7.644737688
36,8.944549414
37,7.564637246
38,8.690898013
39,5.77087279
40,4.8412222
41,10.10964676
42,7.669010549
43,7.421427363
44,6.410462687
45,6.955388425
46,6.147102142
47,4.99171394
48,3.735593365
49,2.649382818
50,2.186984809
51,1.987947346
52,1.952751697
53,1.906633261
54,2.0486295
55,3.506214825
56,2.955220872
57,2.537727656
58,2.605691668
59,4.349696757
60,6.211425224
61,4.210127804
62,4.939527289
63,5.133710179
64,6.783051109
65,8.349864311
66,5.335174929
67,7.602260181
68,4.996568513
69,7.568278175
70,5.22473341
71,4.695585032
72,4.395815194
73,5.002636728
74,5.707763351
75,4.274450887
76,2.102029795
77,1.864155753
78,2.040133998
79,2.133584514
80,4.790249191
81,5.577903543
82,5.958987466
83,6.548817997
84,4.511111285
85,5.673781345
86,4.977150224
87,6.6446958
88,7.841347865
89,7.567064532
90,10.52835362
91,11.22134381
92,12.77602058
93,9.193346243
94,6.116761065
95,5.753881787
96,4.381251477
97,2.947939013
98,4.142163793
99,3.383636875
100,1.961247199
101,1.895710473
102,1.98552006
103,2.097175222
104,4.327851182
105,4.613057303
106,5.417702657
107,8.750366523
108,8.461519473
109,7.228458116
110,8.541619916
111,9.613266745
112,5.397070725
113,7.506382378
114,12.30148614
115,8.904499193
116,7.406863647
117,6.892278986
118,5.551203395
119,5.627662908
120,4.986859368
121,3.263486211
122,2.604478025
123,1.864155753
124,1.753714234
125,1.84716475
126,3.671270282
127,3.248922494
128,3.827830238
129,3.412764308
130,4.103327214
131,3.138480975
132,3.432182598
133,3.096003468
134,3.327809294
135,2.683364824
136,3.268340783
137,8.81226232
138,10.96526512
139,6.892278986
140,8.069512762
141,8.801339532
142,6.329148602
143,4.878845135
144,3.325382007
145,1.907846904
146,1.835028319
147,1.7245868
148,1.794978098
149,2.799874559
150,4.031722273
151,3.802343733
152,5.110650961
153,7.812220431
154,4.701653247
155,4.336346684
156,3.738020651
157,3.187026698
158,3.645783778
159,2.735551476
160,2.390876845
161,4.054781492
162,9.902113795
163,7.883825373
164,9.097468441
165,6.239339015
166,6.877715269
167,5.861896021
168,3.062021462
169,1.997656491
170,1.904205974
171,1.869010325
172,1.855660252
173,1.871437612
174,3.162753836
175,4.893408852
176,4.171291226
177,2.615400812
178,2.294999042
179,2.521950296
180,4.035363203
181,2.949152656
182,2.575350591
183,2.790165414
184,3.514710326
185,5.370370578
186,10.18731992
187,9.868131789
188,10.12542412
189,8.057376331
190,7.723624487
191,6.291525667
192,3.252563423
193,2.614187169
194,2.684578467
195,1.879933113
196,1.777987095
197,1.877505827
198,2.767106196
199,3.153044692
200,2.939443512
201,2.518309367
202,2.313203688
203,3.679765783
204,2.345972051
205,2.194266668
206,3.250136137
207,2.693073969
208,3.974681049
209,6.337644103
210,10.21037913
211,8.531910771
212,14.38045672
213,9.655744252
214,4.602134515
215,4.092404427
216,2.797447273
217,2.16756652
218,1.978238202
219,1.830173747
220,1.941828909
221,2.009792921
222,2.536514013
223,5.242938056
224,3.236786064
225,3.070516963
226,5.854614162
227,5.009918586
228,3.538983188
229,4.302364678
230,2.768319839
231,3.261058925
232,4.105754501
233,5.083950814
234,9.734631052
235,10.14969698
236,9.027077143
237,7.955430314
238,4.235614309
239,4.575434368
240,4.075413424
241,3.242854279
242,2.253735178
243,2.364176697
244,3.00619388
245,2.696714898
246,1.923624263
247,2.968570945
248,5.528144177
249,6.154384
250,5.631303838
251,5.75873636
252,6.607072865
253,5.903159885
254,6.824314974
255,6.692027879
256,6.279389236
257,11.61577781
258,10.98953798
259,12.59761505
260,11.86093371
261,10.29533415
262,8.405691892
263,6.472358484
264,5.427411802
265,3.383636875
266,2.711278615
267,2.531659441
268,1.977024558
269,1.843523821
270,1.78769624
271,1.972169986
272,3.980749264
273,3.900648822
274,4.497761212
275,5.09851453
276,6.574304502
277,7.343754207
278,7.963925815
279,10.59389034
280,10.14484241
281,13.44959248
282,12.72140664
283,11.83059263
284,9.588993884
285,8.354718883
286,6.630132083
287,4.990500297
288,2.000083777
289,1.958819912
290,1.689391151
291,1.84716475
292,2.603264382
293,2.225821388
294,3.204017701
295,6.128897496
296,4.80966748
297,5.249006271
298,2.983134662
299,4.682234958
300,5.565767112
301,3.65063835
302,3.861812244
303,3.553546904
304,4.279305459
305,7.946934812
306,10.29047958
307,11.11090229
308,11.77961962
309,7.654446833
310,6.187152363
311,4.268382672
312,2.572923305
313,2.511027509
314,3.290186359
315,2.278008039
316,1.873864898
317,1.936974337
318,3.139694618
319,4.501402141
320,3.394559662
321,3.538983188
322,2.861770355
323,2.078970576
324,2.830215636
325,3.00983481
326,2.809583703
327,3.047457745
328,3.45281453
329,4.712576035
330,5.778154649
331,7.751538278
332,6.619209295
333,8.679975225
334,6.517263277
335,6.817033115
336,3.143335547
337,1.911487833
338,1.843523821
339,1.832601033
340,1.765850665
341,1.877505827
342,3.594810769
343,3.84846217
344,3.422473453
345,4.079054353
346,2.498891078
347,3.461310031
348,2.710064972
349,3.731952435
350,3.633647347
351,3.224649633
352,3.275622642
353,3.80477102
354,7.999121464
355,14.46783902
356,9.690939901
357,7.874116228
358,8.273404797
359,6.576731788
360,3.394559662
361,1.980665488
362,1.809541815
363,1.74036416
364,1.865369396
365,1.916342405
366,2.981921019
367,3.814480164
368,2.91517065
369,2.481900075
370,2.875120429
371,2.869052214
372,2.911529721
373,4.240468881
374,3.498932966
375,2.316844618
376,2.649382818
377,4.094831713
378,6.723582599
379,8.603515712
380,9.001590639
381,7.49910052
382,5.915296316
383,3.663988424
384,2.990416521
385,2.030424853
386,1.957606269
387,2.027997567
388,1.909060547
389,2.051056786
390,2.528018512
391,4.733207967
392,4.07784071
393,3.579033409
394,3.25134978
395,5.320611212
396,3.434609884
397,6.488135844
398,3.26712714
399,3.441891742
400,2.429713423
401,6.20171608
402,8.487005978
403,9.812304208
404,9.092613869
405,10.42762124
406,8.885080904
407,6.868006124
408,4.542666005
409,4.0183722
410,2.927307081
411,1.929692479
412,1.91027419
413,2.972211875
414,3.755011654
415,6.875287983
416,5.367943292
417,4.88491335
418,5.338815858
419,5.600962761
420,6.139820283
421,4.650680238
422,3.316886506
423,2.88725686
424,5.085164457
425,5.637372053
426,8.24670465
427,9.027077143
428,5.791504723
429,5.397070725
430,5.962628395
431,4.188282229
432,2.979493733
433,2.696714898
434,2.951579942
435,2.752542479
436,1.872651255
437,1.845951107
438,2.004938349
439,2.304708187
440,4.120318217
441,4.45771099
442,5.449257377
443,4.951663719
444,5.206528764
445,4.941954575
446,4.149445651
447,7.29763577
448,9.28315583
449,7.144716744
450,10.39485288
451,6.603431935
452,7.230885402
453,5.432266374
454,4.399456123
455,4.818162982
456,6.524545136
457,2.742833335
458,1.904205974
459,1.798619027
460,1.889642258
461,1.872651255
462,2.827788349
463,3.318100149
464,2.802301845
465,5.313329354
466,5.985687613
467,4.912827141
468,5.860682377
469,2.814438276
470,4.234400666
471,6.088847274
472,5.9092281
473,6.160452215
474,6.363130608
475,10.40698931
476,7.125298455
477,7.616823897
478,6.360703322
479,5.875246094
480,3.643356491
481,2.063193216
482,1.826532818
483,1.883574042
484,1.8034736
485,1.873864898
486,3.256204353
487,4.931031787
488,4.998995799
489,4.651893881
490,3.434609884
491,4.352124043
492,6.06336077
493,3.855744028
494,4.832726698
495,3.377568659
496,3.660347494
497,4.757480828
498,9.158150594
499,6.577945431
500,7.160494104
501,6.743000888
502,6.772128322
503,5.713831566
504,2.888470503
505,2.377526771
506,1.790123526
507,1.748859662
508,1.784055311
509,1.879933113
510,2.144507302
511,5.060891595
512,5.025695946
513,6.712659811
514,3.912785253
515,4.422515341
516,4.791462834
517,5.766018218
518,3.961330975
519,4.223477878
520,4.000167554
521,3.54383776
522,11.85122456
523,7.922661951
524,10.65214521
525,7.013643292
526,5.018414088
527,5.468675666
528,3.390918733
529,2.524377582
530,2.670014751
531,1.946683482
532,2.065620502
533,1.774346166
534,2.492822863
535,3.564469692
536,3.447959957
537,3.677338497
538,2.836283851
539,3.077798822
540,2.975852804
541,4.58028894
542,5.643440268
543,4.3509104
544,5.020841374
545,9.956727733
546,7.130153027
547,8.448169399
548,9.321992409
549,7.520946095
550,7.945721169
551,6.508767776
552,3.184599412
553,2.621469028
554,1.809541815
555,1.915128762
556,1.750073305
557,1.805900886
558,2.587487022
559,4.989286654
560,4.262314456
561,4.977150224
562,5.348525003
563,6.034233336
564,4.4297972
565,5.472316596
566,2.810797346
567,3.076585178
568,4.289014604
569,6.558527142
570,8.279473013
571,7.082820947
572,8.974890491
573,5.549989752
574,6.475999413
575,5.882527953
576,4.542666005
577,4.610630017
578,3.018330311
579,1.981879131
580,1.923624263
581,1.81925096
582,1.81561003
583,2.078970576
584,4.346055828
585,5.592467259
586,6.337644103
587,4.784180976
588,4.949236433
589,5.704122422
590,3.984390194
591,6.721155313
592,5.523289604
593,6.230843513
594,7.39229993
595,8.574388278
596,9.711571834
597,6.801255755
598,4.898263424
599,4.13730922
600,4.466206492
601,2.771960768
602,2.706424043
603,2.3811677
604,1.961247199
605,1.770705237
606,2.110525296
607,2.245239677
608,4.122745503
609,3.905503394
610,5.582758115
611,4.753839899
612,4.847290415
613,4.448001846
614,3.517137612
615,5.477171168
616,7.53065524
617,10.05139189
618,11.09755222
619,9.092613869
620,9.227328249
621,7.783092998
622,5.716258852
623,4.662816669
624,3.474660105
625,2.83992478
626,1.979451845
627,2.100816151
628,1.994015561
629,2.013433851
630,3.33023658
631,3.483155606
632,3.507428468
633,4.610630017
634,4.173718512
635,5.026909589
636,4.406737981
637,3.655492922
638,3.991672052
639,4.645825666
640,4.557229722
641,4.927390858
642,7.068257231
643,9.086545653
644,9.071981937
645,9.001590639
646,6.855869694
647,5.821845799
648,2.485541004
649,2.020715709
650,2.581418807
651,2.73312419
652,3.344800297
653,2.577777877
654,3.846034884
655,3.952835474
656,4.662816669
657,3.769575371
658,3.656706565
659,3.079012465
660,3.1166354
661,3.818121093
662,3.393346019
663,2.546223158
664,2.502532007
665,4.689516816
666,7.715128986
667,9.005231568
668,6.291525667
669,6.403180829
670,5.583971758
671,4.591211728
672,2.568068733
673,3.261058925
674,2.421217922
675,1.830173747
676,1.773132523
677,1.918769691
678,2.39694506
679,3.508642111
680,2.410295134
681,2.804729131
682,4.25988717
683,3.498932966
684,6.560954428
685,4.172504869
686,6.374053395
687,5.528144177
688,2.470977287
689,3.54383776
690,8.927558411
691,9.477338721
692,6.514835991
693,4.829085769
694,6.060933484
695,5.017200445
696,3.458882745
697,1.955178983
698,1.849592036
699,1.902992331
700,1.731868659
701,1.824105532
702,2.545009514
703,3.633647347
704,3.057166889
705,3.456455459
706,2.509813866
707,4.79753105
708,3.951621831
709,2.372672199
710,4.122745503
711,4.285373675
712,2.926093438
713,7.092530092
714,8.052521759
715,7.893534517
716,7.08403459
717,6.524545136
718,5.809709369
719,4.33877397
720,3.094789825
721,1.930906122
722,1.921196977
723,1.984306417
724,1.872651255
725,1.884787685
726,2.507386579
727,4.619125518
728,3.548692332
729,2.603264382
730,3.853316742
731,3.077798822
732,2.884829574
733,2.980707376
734,2.640887317
735,2.069261432
736,2.173634736
737,3.699184073
738,7.105880166
739,8.671479724
740,10.41548481
741,9.595062099
742,6.687173307
743,4.44193363
744,4.836367628
745,3.576606123
746,3.247708851
747,2.453986284
748,1.92605155
749,1.854446609
750,1.944256196
751,3.673697568
752,3.410337022
753,6.365557894
754,7.741829134
755,7.40443636
756,4.802385622
757,3.165181122
758,4.296296462
759,5.642226625
760,7.883825373
761,11.55995023
762,8.559824562
763,7.643524045
764,8.684829798
765,10.08294661
766,5.775727363
767,6.00389226
768,4.314501108
769,3.765934441
770,3.560828763
771,3.172462981
772,2.983134662
773,2.104457081
774,2.339903836
775,3.922494397
776,4.306005607
777,4.352124043
778,4.421301698
779,7.997907821
780,8.423896538
781,8.24670465
782,8.431178396
783,7.461477585
784,6.645909443
785,12.48474624
786,19.38309345
787,13.20443658
788,10.48587611
789,7.030634295
790,5.259929059
791,5.882527953
792,5.308474781
793,5.073028026
794,2.153002803
795,2.085038792
796,2.069261432
797,2.095961579
798,3.568110621
799,4.649466595
800,3.560828763
801,2.986775591
802,3.538983188
803,4.45771099
804,4.623980091
805,4.097258999
806,4.733207967
807,3.320527435
808,4.086336211
809,5.776941006
810,8.886294547
811,5.71140428
812,7.307344915
813,7.579200962
814,6.005105903
815,6.114333779
816,3.850889456
817,2.160284662
818,2.193053025
819,2.013433851
820,1.941828909
821,2.058338644
822,2.90303422
823,4.091190784
824,3.890939677
825,2.892111432
826,4.028081344
827,5.261142702
828,4.384892406
829,5.891023454
830,4.742917111
831,2.418790635
832,2.507386579
833,4.075413424
834,7.933584738
835,11.26746225
836,9.382674562
837,8.150826848
838,6.29273931
839,5.71140428
840,3.71010686
841,3.343586654
842,2.212471314
843,1.859301181
844,1.788909883
845,1.77191888
846,3.413977951
847,4.444360917
848,2.095961579
849,2.282862612
850,3.837539382
851,5.292697421
852,7.641096759
853,5.532998749
854,4.103327214
855,5.594894545
856,3.704038645
857,5.307261138
858,12.40950037
859,14.02371174
860,12.05026203
861,11.3111534
862,7.449341154
863,5.608244619
864,3.45281453
865,2.29014447
866,2.416363349
867,2.400585989
868,1.706382154
869,1.752500591
870,2.427286137
871,3.303536432
872,2.852061211
873,3.326595651
874,3.605733556
875,4.871563277
876,3.234358777
877,2.627537243
878,3.858171315
879,3.313245577
880,5.999037687
881,8.006403322
882,7.372881641
883,6.876501626
884,9.52831173
885,7.118016596
886,7.500314163
887,6.244193587
888,3.713747789
889,2.76467891
890,2.082611505
891,1.796191741
892,1.814396387
893,2.174848379
894,2.576564234
895,3.059594176
896,3.884871462
897,4.222264235
898,4.160368439
899,6.536681567
900,4.202845946
901,6.114333779
902,4.130027362
903,2.534086727
904,3.759866226
905,2.762251624
906,6.6446958
907,5.559698896
908,5.012345873
909,5.815777584
910,4.375183262
911,3.702825002
912,2.577777877
913,3.211299559
914,1.758568806
915,1.770705237
916,1.797405384
917,1.770705237
918,2.03285214
919,2.947939013
920,8.533124414
921,8.38505996
922,9.780749488
923,9.839004356
924,7.541578027
925,4.639757451
926,5.745386286
927,4.566938867
928,4.819376625
929,7.343754207
930,14.14015539
931,10.96647877
932,10.46645782
933,7.268508337
934,7.440845653
935,5.103369103
936,3.722243291
937,2.212471314
938,2.778028984
939,2.469763644
940,1.890855901
941,1.714877656
942,1.849592036
943,2.411508777
944,3.205231344
945,6.761205534
946,6.451726552
947,5.509939531
948,5.520862318
949,6.382548897
950,5.151914825
951,3.712534146
952,3.933417185
953,4.690730459
954,9.237037394
955,10.25042936
956,9.960368663
957,9.321992409
958,7.660515048
959,4.80966748
960,3.379995946
961,4.375183262
962,3.047457745
963,1.782841668
964,1.830173747
965,1.824105532
966,2.366603983
967,3.384850518
968,2.716133187
969,3.65063835
970,3.614229058
971,3.401841521
972,4.593639014
973,4.588784442
974,3.234358777
975,2.546223158
976,4.494120282
977,6.162879501
978,9.291651332
979,9.224900963
980,9.675162542
981,6.871647053
982,7.096171021
983,6.142247569
984,3.944339972
985,2.432140709
986,1.809541815
987,3.157899264
988,1.871437612
989,1.873864898
990,2.659091963
991,3.519564898
992,3.225863276
993,2.638460031
994,2.947939013
995,4.060849707
996,3.1166354
997,2.326553762
998,2.559573231
999,2.511027509
1000,2.169993806
1001,2.543795871
1002,7.226030829
1003,10.42033939
1004,8.042812614
1005,6.297593882
1006,6.234484443
1007,4.569366153
1008,2.799874559
1009,1.81561003
1010,1.770705237
1011,1.70880944
1012,1.713664013
1013,1.673613791
1014,2.293785399
1015,4.830299412
1016,2.849633925
1017,2.159071019
1018,3.888512391
1019,3.820548379
1020,4.97957751
1021,4.716216964
1022,3.990458409
1023,2.569282376
1024,2.8714795
1025,3.821762022
1026,8.429964753
1027,7.8789708
1028,6.381335254
1029,5.051182451
1030,4.389746979
1031,4.011090341
1032,2.392090488
1033,1.731868659
1034,1.640845429
1035,1.666331933
1036,1.620213496
1037,1.685750222
1038,3.114208114
1039,3.644570134
1040,3.846034884
1041,2.952793585
1042,4.196777731
1043,5.809709369
1044,7.363172496
1045,4.761121757
1046,3.532914972
1047,2.804729131
1048,3.632433704
1049,7.874116228
1050,7.284285697
1051,9.42151114
1052,9.587780241
1053,6.649550372
1054,7.761247423
1055,5.778154649
1056,2.659091963
1057,1.875078541
1058,1.798619027
1059,1.802259957
1060,1.804687243
1061,1.816823673
1062,2.541368585
1063,4.887340637
1064,3.887298748
1065,3.685833999
1066,5.579117186
1067,6.034233336
1068,5.11793282
1069,5.892237097
1070,5.511153174
1071,3.89579425
1072,3.33023658
1073,5.917723602
1074,8.423896538
1075,11.60970959
1076,7.104666523
1077,5.912869029
1078,6.028165121
1079,5.354593218
1080,4.065704279
1081,3.14819012
1082,1.962460842
1083,3.099644397
1084,2.297426329
1085,1.735509588
1086,1.984306417
1087,1.919983334
1088,4.367901403
1089,4.843649486
1090,3.978321978
1091,6.567022643
1092,8.218790859
1093,8.596233854
1094,5.076668955
1095,6.230843513
1096,7.465118514
1097,6.176229575
1098,7.861979797
1099,8.03310347
1100,6.344925962
1101,5.452898306
1102,5.579117186
1103,4.989286654
1104,3.263486211
1105,3.735593365
1106,4.20041866
1107,2.718560473
1108,1.739150517
1109,1.887214971
1110,1.898137759
1111,1.899351402
1112,3.596024412
1113,5.479598454
1114,6.556099856
1115,8.130194915
1116,6.74785546
1117,5.922578174
1118,6.045156124
1119,5.199246905
1120,5.239297126
1121,9.347478913
1122,10.17154256
1123,7.662942334
1124,5.423770873
1125,4.835153985
1126,5.155555755
1127,6.73571903
1128,4.404310695
1129,2.366603983
1130,2.906675149
1131,2.403013275
1132,2.484327361
1133,2.524377582
1134,3.318100149
1135,3.758652583
1136,2.109311653
1137,2.83992478
1138,3.821762022
1139,4.170077583
1140,5.340029501
1141,4.213768734
1142,3.304750075
1143,2.319271904
1144,2.203975812
1145,3.598451698
1146,8.40083732
1147,7.86319344
1148,5.848545947
1149,4.871563277
1150,4.130027362
1151,5.54149425
1152,3.91157161
1153,2.500104721
1154,2.534086727
1155,2.562000517
1156,1.728227729
1157,1.676041078
1158,3.055953246
1159,5.894664383
1160,5.923791817
1161,4.280519102
1162,2.224607744
1163,4.560870651
1164,4.922536286
1165,7.573132747
1166,5.144632967
1167,2.080184219
1168,1.975810915
1169,3.227076919
1170,5.501444029
1171,7.520946095
1172,8.55132906
1173,5.512366817
1174,3.853316742
1175,3.648211064
1176,2.47583186
1177,1.770705237
1178,1.629922641
1179,1.671186505
1180,1.655409145
1181,1.808328172
1182,2.383594986
1183,2.562000517
1184,2.706424043
1185,2.653023748
1186,2.802301845
1187,3.136053689
1188,3.661561137
1189,4.575434368
1190,3.049885031
1191,2.2148986
1192,2.498891078
1193,2.906675149
1194,6.274534664
1195,8.954258559
1196,10.03804182
1197,6.802469399
1198,5.304833852
1199,2.873906786
1200,2.695501255
1201,2.457627214
1202,1.752500591
1203,1.790123526
1204,1.77191888
1205,2.201548526
1206,2.875120429
1207,2.854488497
1208,2.355681196
1209,2.013433851
1210,1.871437612
1211,1.858087538
1212,3.684620356
1213,3.803557376
1214,4.434651772
1215,4.594852657
1216,3.31445922
1217,3.14454919
1218,6.103410991
1219,10.67277714
1220,8.370496243
1221,6.621636581
1222,6.591295505
1223,4.729567038
1224,2.847206639
1225,1.820464603
1226,1.779200738
1227,1.805900886
1228,1.710023083
1229,2.515882081
1230,3.241640636
1231,3.312031934
1232,3.269554426
1233,3.412764308
1234,4.406737981
1235,5.671354059
1236,4.666457598
1237,3.924921683
1238,2.212471314
1239,2.534086727
1240,2.670014751
1241,3.456455459
1242,9.783176775
1243,7.300063057
1244,7.074325446
1245,6.712659811
1246,4.496547569
1247,3.630006418
1248,4.537811433
1249,3.728311506
1250,2.542582228
1251,1.74036416
1252,1.733082302
1253,1.844737464
1254,2.47219093
1255,2.696714898
1256,3.478301034
1257,4.878845135
1258,3.364218586
1259,4.553588793
1260,5.179828616
1261,5.460180165
1262,3.188240341
1263,2.861770355
1264,2.464909072
1265,3.776857229
1266,3.646997421
1267,8.865662615
1268,7.638669473
1269,8.03310347
1270,5.516007746
1271,4.142163793
1272,3.793848232
1273,3.273195356
1274,2.941870798
1275,2.81201099
1276,2.553505016
1277,1.933333408
1278,2.680937538
1279,2.142080016
1280,2.933375296
